,City,Lat,Lng,Temp (C),Humidity,Cloudiness,Wind_Speed (kmph),Date,Country
0,Muli,2.92,73.57,27.910000000000025,76,100,14.868,1601610195,MV
1,Busselton,-33.65,115.33,17.220000000000027,43,36,26.388,1601610195,AU
2,Bindi,9.92,-11.45,21.54000000000002,97,100,5.22,1601610196,SL
3,Kapaa,22.08,-159.32,29.0,66,1,14.76,1601610196,US
4,Varaždin,46.3,16.34,8.890000000000043,99,89,6.336,1601610197,HR
5,Paamiut,61.99,-49.67,2.8700000000000045,94,100,91.584,1601610198,GL
6,Ushuaia,-54.8,-68.3,0.0,91,75,31.319999999999997,1601610199,AR
7,Yataity,-26.37,-56.07,27.930000000000007,33,8,8.532,1601610199,PY
8,Penzance,50.12,-5.54,9.0,93,100,22.32,1601610200,GB
9,Thompson,55.74,-97.86,0.0,92,75,3.6,1601610033,CA
10,Whitianga,-36.83,175.7,14.560000000000002,64,99,13.751999999999999,1601610201,NZ
11,Hermanus,-34.42,19.23,13.890000000000043,72,71,11.268,1601610201,ZA
12,Arraial do Cabo,-22.97,-42.03,23.100000000000023,88,0,39.6,1601610202,BR
13,Tokur,53.13,132.9,11.230000000000018,49,92,8.064000000000002,1601610203,RU
14,Vaini,-21.2,-175.2,24.0,94,75,14.76,1601610203,TO
15,Rikitea,-23.12,-134.97,22.879999999999995,78,7,30.168000000000003,1601610204,PF
16,Ribeira Brava,32.65,-17.07,20.0,82,75,11.16,1601610204,PT
17,Butaritari,3.07,172.79,27.400000000000034,72,0,23.904,1601610205,KI
18,Batote,33.12,75.32,24.0,60,5,7.5600000000000005,1601610206,IN
19,Pusad,19.9,77.58,28.24000000000001,68,66,20.88,1601610206,IN
20,Mar del Plata,-38.0,-57.56,9.0,61,75,14.76,1601609962,AR
21,Punta Arenas,-53.15,-70.92,-1.0,63,0,20.52,1601610207,CL
22,Tsabong,-26.02,22.4,7.2000000000000455,56,0,15.192,1601610208,BW
23,Markova,48.68,24.41,9.960000000000036,89,99,4.356,1601610209,UA
24,Tasiilaq,65.61,-37.64,0.0,98,100,51.84,1601610210,GL
25,Cape Town,-33.93,18.42,14.0,58,40,31.319999999999997,1601609813,ZA
26,Saint-Philippe,-21.36,55.77,24.0,57,3,5.4,1601610211,RE
27,Yellowknife,62.46,-114.35,6.0,81,75,12.96,1601610212,CA
28,Narsaq,60.92,-46.05,4.0,89,100,27.720000000000002,1601610212,GL
29,Glomfjord,66.82,13.97,12.78000000000003,71,16,18.36,1601610213,NO
30,Barrow,71.29,-156.79,1.0,86,90,25.92,1601610214,US
31,Laguna,38.42,-121.42,26.670000000000016,50,1,6.84,1601610214,US
32,Hilo,19.73,-155.09,28.0,74,1,20.52,1601610148,US
33,Port Elizabeth,-33.92,25.57,15.0,62,90,25.92,1601610216,ZA
34,Vinh,18.67,105.67,30.220000000000027,71,87,7.452,1601610217,VN
35,Port Blair,11.67,92.75,27.670000000000016,82,100,24.408,1601610218,IN
